LotFrontage,LotArea,OverallQual,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,MSSubClass_30,MSSubClass_60,MSZoning_RL,MSZoning_RM,LotShape_Reg,LotShape_IR1,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,HouseStyle_2Story,RoofStyle_Gable,RoofStyle_Hip,Exterior1st_VinylSd,Exterior2nd_VinylSd,MasVnrType_BrkFace,MasVnrType_Stone,MasVnrType_None,ExterQual_Gd,ExterQual_TA,ExterQual_Ex,Foundation_PConc,Foundation_CBlock,Foundation_BrkTil,BsmtQual_Ex,BsmtQual_Gd,BsmtQual_TA,BsmtExposure_No,BsmtExposure_Gd,BsmtFinType1_GLQ,HeatingQC_Ex,HeatingQC_TA,CentralAir_N,Electrical_SBrkr,KitchenQual_Gd,KitchenQual_TA,KitchenQual_Ex,FireplaceQu_Ex,FireplaceQu_Gd,FireplaceQu_NA,GarageType_Attchd,GarageType_Detchd,GarageType_BuiltIn,GarageType_NA,GarageFinish_Unf,GarageFinish_Fin,GarageQual_TA,GarageCond_TA,PavedDrive_Y,PavedDrive_N,SaleType_WD,SaleType_New,SaleCondition_Partial
65,8450,7,196,706,150,856,856,854,1710,1,2,1,8,0,2,548,0,61,208500,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0
80,9600,6,0,978,284,1262,1262,0,1262,0,2,0,6,1,2,460,298,0,181500,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
68,11250,7,162,486,434,920,920,866,1786,1,2,1,6,1,2,608,0,42,223500,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
60,9550,7,0,216,540,756,961,756,1717,1,1,0,7,1,3,642,0,35,140000,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0
84,14260,8,350,655,490,1145,1145,1053,2198,1,2,1,9,1,3,836,192,84,250000,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
85,14115,5,0,732,64,796,796,566,1362,1,1,1,5,0,2,480,40,30,143000,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0
75,10084,8,186,1369,317,1686,1694,0,1694,1,2,0,7,1,2,636,255,57,307000,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
0,10382,7,240,859,216,1107,1107,983,2090,1,2,1,7,2,2,484,235,204,200000,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0
51,6120,7,0,0,952,952,1022,752,1774,0,2,0,8,2,2,468,90,0,129900,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
50,7420,5,0,851,140,991,1077,0,1077,1,1,0,5,2,1,205,0,4,118000,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
